(('camera_None'	 'camera_None')	 'other_beats'),1
(('camera_None'	 'look_away_slide_beats')	 'look_away_slide_beats'),1
(('camera_None'	 'look_away_slide_beats')	 'slide_metaphoric'),1
(('camera_None'	 'look_away_slide_beats')	 'look_down_beats'),1
(('camera_None'	 'look_away_slide_beats')	 'other_None'),1
(('camera_None'	 'look_away_slide_metaphoric')	 'camera_metaphoric'),1
(('camera_None'	 'look_away_slide_deictic')	 'look_away_slide_deictic'),1
(('camera_None'	 'look_away_slide_iconic')	 'camera_iconic'),1
(('camera_None'	 'look_away_slide_None')	 'camera_metaphoric'),1
(('camera_None'	 'look_away_slide_None')	 'camera_deictic'),1
(('camera_None'	 'look_away_slide_None')	 'look_away_slide_beats'),1
(('camera_None'	 'slide_beats')	 'camera_beats'),1
(('camera_None'	 'slide_beats')	 'camera_metaphoric'),1
(('camera_None'	 'slide_beats')	 'other_None'),1
(('camera_None'	 'slide_deictic')	 'camera_beats'),1
(('camera_None'	 'slide_deictic')	 'camera_deictic'),1
(('camera_None'	 'slide_deictic')	 'camera_None'),1
(('camera_None'	 'slide_deictic')	 'other_None'),1
(('camera_None'	 'look_down_None')	 'slide_beats'),1
(('camera_None'	 'other_beats')	 'other_None'),1
(('camera_None'	 'other_deictic')	 'other_None'),1
(('camera_None'	 'other_None')	 'look_away_slide_None'),1
(('camera_None'	 'other_None')	 'other_None'),1
(('look_away_slide_beats'	 'camera_beats')	 'camera_beats'),1
(('look_away_slide_beats'	 'camera_beats')	 'slide_iconic'),1
(('look_away_slide_beats'	 'camera_beats')	 'other_None'),1
(('look_away_slide_beats'	 'camera_metaphoric')	 'camera_None'),1
(('look_away_slide_beats'	 'camera_None')	 'camera_metaphoric'),1
(('look_away_slide_beats'	 'camera_None')	 'slide_beats'),1
(('look_away_slide_beats'	 'camera_None')	 'other_None'),1
(('look_away_slide_beats'	 'look_away_slide_beats')	 'camera_beats'),1
(('look_away_slide_beats'	 'look_away_slide_metaphoric')	 'camera_None'),1
(('look_away_slide_beats'	 'look_away_slide_None')	 'slide_deictic'),1
(('look_away_slide_beats'	 'look_away_slide_None')	 'slide_None'),1
(('look_away_slide_beats'	 'look_away_slide_None')	 'other_metaphoric'),1
(('look_away_slide_beats'	 'slide_metaphoric')	 'slide_deictic'),1
(('look_away_slide_beats'	 'look_down_beats')	 'slide_None'),1
(('look_away_slide_beats'	 'other_None')	 'slide_None'),1
(('look_away_slide_metaphoric'	 'camera_metaphoric')	 'camera_metaphoric'),1
(('look_away_slide_metaphoric'	 'camera_metaphoric')	 'slide_metaphoric'),1
(('look_away_slide_metaphoric'	 'camera_None')	 'camera_metaphoric'),1
(('look_away_slide_metaphoric'	 'camera_None')	 'slide_deictic'),1
(('look_away_slide_metaphoric'	 'look_down_metaphoric')	 'camera_metaphoric'),1
(('look_away_slide_metaphoric'	 'other_metaphoric')	 'slide_metaphoric'),1
(('look_away_slide_deictic'	 'camera_deictic')	 'camera_None'),1
(('look_away_slide_deictic'	 'look_away_slide_deictic')	 'camera_deictic'),1
(('look_away_slide_iconic'	 'camera_iconic')	 'slide_iconic'),1
(('look_away_slide_None'	 'camera_beats')	 'camera_metaphoric'),1
(('look_away_slide_None'	 'camera_beats')	 'look_away_slide_None'),1
(('look_away_slide_None'	 'camera_metaphoric')	 'look_down_metaphoric'),1
(('look_away_slide_None'	 'camera_metaphoric')	 'look_down_None'),1
(('look_away_slide_None'	 'camera_deictic')	 'camera_None'),1
(('look_away_slide_None'	 'camera_None')	 'camera_deictic'),1
(('look_away_slide_None'	 'camera_None')	 'camera_None'),1
(('look_away_slide_None'	 'camera_None')	 'slide_beats'),1
(('look_away_slide_None'	 'camera_None')	 'slide_deictic'),1
(('look_away_slide_None'	 'camera_None')	 'other_None'),1
(('look_away_slide_None'	 'look_away_slide_None')	 'slide_beats'),1
(('look_away_slide_None'	 'slide_beats')	 'camera_beats'),1
(('look_away_slide_None'	 'slide_deictic')	 'camera_None'),1
(('look_away_slide_None'	 'slide_None')	 'slide_beats'),1
(('look_away_slide_None'	 'look_down_None')	 'camera_beats'),1
(('look_away_slide_None'	 'other_metaphoric')	 'other_None'),1
(('look_away_slide_None'	 'other_deictic')	 'slide_None'),1
(('look_away_slide_None'	 'other_None')	 'slide_beats'),1
(('slide_beats'	 'camera_beats')	 'other_beats'),1
(('slide_beats'	 'camera_metaphoric')	 'look_away_slide_None'),1
(('slide_beats'	 'camera_None')	 'camera_beats'),1
(('slide_beats'	 'camera_None')	 'camera_metaphoric'),1
(('slide_beats'	 'look_away_slide_None')	 'look_away_slide_beats'),1
(('slide_beats'	 'slide_beats')	 'camera_beats'),1
(('slide_beats'	 'other_None')	 'slide_beats'),1
(('slide_beats'	 'other_None')	 'other_metaphoric'),1
(('slide_metaphoric'	 'camera_metaphoric')	 'camera_None'),1
(('slide_metaphoric'	 'camera_None')	 'camera_beats'),1
(('slide_metaphoric'	 'slide_deictic')	 'camera_deictic'),1
(('slide_deictic'	 'camera_beats')	 'look_away_slide_beats'),1
(('slide_deictic'	 'camera_deictic')	 'camera_metaphoric'),1
(('slide_deictic'	 'camera_deictic')	 'look_away_slide_beats'),1
(('slide_deictic'	 'camera_deictic')	 'look_away_slide_metaphoric'),1
(('slide_deictic'	 'camera_None')	 'camera_metaphoric'),1
(('slide_deictic'	 'camera_None')	 'other_None'),1
(('slide_deictic'	 'slide_deictic')	 'other_deictic'),1
(('slide_deictic'	 'other_beats')	 'look_away_slide_metaphoric'),1
(('slide_deictic'	 'other_deictic')	 'camera_beats'),1
(('slide_deictic'	 'other_None')	 'look_away_slide_None'),1
(('slide_iconic'	 'camera_iconic')	 'other_iconic'),1
(('slide_iconic'	 'other_None')	 'look_away_slide_beats'),1
(('slide_None'	 'camera_beats')	 'camera_metaphoric'),1
(('slide_None'	 'camera_beats')	 'camera_None'),1
(('slide_None'	 'camera_beats')	 'look_away_slide_None'),1
(('slide_None'	 'camera_None')	 'look_away_slide_None'),1
(('slide_None'	 'camera_None')	 'other_None'),1
(('slide_None'	 'slide_beats')	 'other_None'),1
(('slide_None'	 'slide_None')	 'camera_beats'),1
